"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",paaY,TUPLE // G6721-MONOMER // 3,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",,,
2-hydroxypentadienoate hydratase,mhpD,TUPLE // MHPDHYDROL-MONOMER // 5,2-hydroxypentadienoate hydratase,,,
2-keto-3-deoxy-L-rhamnonate aldolase,yfaU,TUPLE // G7158-MONOMER // 6,2-keto-3-deoxy-L-rhamnonate aldolase,,,
2-methylcitrate synthase,prpC,TUPLE // G6198-MONOMER // 2,2-methylcitrate synthase,,,
2-methylisocitrate lyase,prpB,TUPLE // G6196-MONOMER // 4,2-methylisocitrate lyase,,,
"2-oxoglutarate decarboxylase, thiamine-requiring",sucA,TUPLE // E1O-MONOMER // 12,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,,,
2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",TUPLE // E3-CPLX // 1 // TUPLE // E3-MONOMER // 2 // TUPLE // E2O // 1 // TUPLE // E2O-MONOMER // 24 // TUPLE // E1O // 1 // TUPLE // E1O-MONOMER // 12,"lipoamide dehydrogenase"" // ""SucB-dihydrolipoate"" // ""SucB-S-succinyldihydrolipoate"" // ""SucB-lipoate"" // ""dihydrolipoyltranssuccinylase"" // ""subunit of E1(0) component of 2-oxoglutarate dehydrogenase",,,
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menD,TUPLE // MEND-MONOMER // 2,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,,,
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,rlmB,TUPLE // G7845-MONOMER // 2,23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,,,
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,rlmH,TUPLE // EG11254-MONOMER // 2,23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,,,
23S rRNA m<sup>5</sup>C1962 methyltransferase,rlmI,TUPLE // G6501-MONOMER // 2,23S rRNA m<sup>5</sup>C1962 methyltransferase,,,
2Fe-2S cluster-containing protein YeaW,yeaW,TUPLE // G6988-MONOMER // 3,carnitine monooxygenase subunit YeaW,,,
"3,4-dihydroxy-2-butanone-4-phosphate synthase",ribB,TUPLE // DIOHBUTANONEPSYN-MONOMER // 2,"3,4-dihydroxy-2-butanone-4-phosphate synthase",,,
"3-carboxyethylcatechol 2,3-dioxygenase",mhpB,TUPLE // DHPDIOXYGEN-MONOMER // 4,"3-carboxyethylcatechol 2,3-dioxygenase",,,
3-dehydroquinate dehydratase,aroD,TUPLE // AROD-MONOMER // 2,3-dehydroquinate dehydratase,,,
"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",aroG,TUPLE // AROG-MONOMER // 4,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",,,
"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",aroH,TUPLE // AROH-MONOMER // 2,"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",,,
"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",aroF,TUPLE // AROF-MONOMER // 2,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",,,
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC,kdsC,TUPLE // G7663-MONOMER // 4,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC,,,
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,kdsA,TUPLE // KDO-8PSYNTH-MONOMER // 4,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,,,
3-hydroxy acid dehydrogenase,ydfG,TUPLE // EG12345-MONOMER // 4,3-hydroxy acid dehydrogenase,,,
"3-hydroxy-2,4-pentadione 5-phosphate thiolase",lsrF,TUPLE // G6804-MONOMER // 10,"3-hydroxy-2,4-pentadione 5-phosphate thiolase",,,
3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,fabZ,TUPLE // FABZ-MONOMER // 6,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,,,
3-isopropylmalate dehydratase,"leuD"" // ""leuC",TUPLE // LEUD-MONOMER // 1 // TUPLE // LEUC-MONOMER // 1,"3-isopropylmalate dehydratase subunit LeuD"" // ""3-isopropylmalate dehydratase subunit LeuC",,,
3-isopropylmalate dehydrogenase,leuB,TUPLE // 3-ISOPROPYLMALDEHYDROG-MONOMER // 2,3-isopropylmalate dehydrogenase,,,
3-keto-L-gulonate-6-phosphate decarboxylase UlaD,ulaD,TUPLE // G7858-MONOMER // 2,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,,,
3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,TUPLE // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER // 10,3-methyl-2-oxobutanoate hydroxymethyltransferase,,,
3-octaprenyl-4-hydroxybenzoate decarboxylase,ubiD,TUPLE // EG11396-MONOMER // 6,3-octaprenyl-4-hydroxybenzoate decarboxylase,,,
3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,TUPLE // 3-OXOACYL-ACP-REDUCT-MONOMER // 4,3-oxoacyl-[acyl-carrier-protein] reductase FabG,,,
3-sulfolactaldehyde reductase,yihU,TUPLE // EG11847-MONOMER // 4,3-sulfolactaldehyde reductase,,,
4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,ispE,TUPLE // EG11294-MONOMER // 2,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,,,
"aminodeoxychorismate synthase subunit 1"" // ""aminodeoxychorismate synthase subunit 2","pabA"" // ""pabB",TUPLE // PABASYN-COMPII-MONOMER // 1 // TUPLE // PABASYN-COMPI-MONOMER // 1,"aminodeoxychorismate synthase subunit 2"" // ""aminodeoxychorismate synthase subunit 1",,,
4-aminobutyrate aminotransferase GabT,gabT,TUPLE // GABATRANSAM-MONOMER // 2,4-aminobutyrate aminotransferase GabT,,,
4-diphosphocytidyl-2C-methyl-D-erythritol synthase,ispD,TUPLE // G7423-MONOMER // 2,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,,,
4-hydroxy-tetrahydrodipicolinate reductase,dapB,TUPLE // DIHYDROPICRED-MONOMER // 4,4-hydroxy-tetrahydrodipicolinate reductase,,,
4-hydroxy-tetrahydrodipicolinate synthase,dapA,TUPLE // DIHYDRODIPICSYN-MONOMER // 4,4-hydroxy-tetrahydrodipicolinate synthase,,,
4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,TUPLE // PDXA-MONOMER // 2,4-hydroxythreonine-4-phosphate dehydrogenase,,,
5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase,mtn,TUPLE // EG11090-MONOMER // 2,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,,
"5,10-methylenetetrahydrofolate reductase",metF,TUPLE // METHYLENETHFREDUCT-MONOMER // 4,"5,10-methylenetetrahydrofolate reductase",,,
5-(carboxyamino)imidazole ribonucleotide synthase,purK,TUPLE // PURK-MONOMER // 2,5-(carboxyamino)imidazole ribonucleotide synthase,,,
5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG,mnmG,TUPLE // EG10375-MONOMER // 2,5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG,,,
5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,mnmE,TUPLE // EG10997-MONOMER // 2,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,,,
"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit"" // ""5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG","mnmG"" // ""mnmE",TUPLE // CPLX0-7597 // 1 // TUPLE // EG10375-MONOMER // 2 // TUPLE // CPLX0-7608 // 1 // TUPLE // EG10997-MONOMER // 2,"5-carboxymethylaminomethyluridine-tRNA syntase subunit MnmG"" // ""5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit",,,
5-dehydro-4-deoxy-<small>D</small>-glucuronate isomerase,kduI,TUPLE // G7463-MONOMER // 6,5-dehydro-4-deoxy-D-glucuronate isomerase,,,
5-oxoprolinase,"pxpA"" // ""pxpB"" // ""pxpC",TUPLE // G6382-MONOMER // 1 // TUPLE // G6380-MONOMER // 1 // TUPLE // G6381-MONOMER // 1,"5-oxoprolinase component A"" // ""5-oxoprolinase component B"" // ""5-oxoprolinase component C",,,
"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",phnP,TUPLE // EG10725-MONOMER // 2,"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",,,
50S ribosomal protein complex L8,"rplL"" // ""rplJ",TUPLE // CPLX0-3955 // 2 // TUPLE // EG10873-MONOMER // 4 // TUPLE // EG10871-MONOMER // 1,"50S ribosomal subunit protein L7"" // ""50S ribosomal subunit protein L12"" // ""50S ribosomal subunit protein L10",,,
50S ribosomal subunit protein L7/L12 dimer,rplL,TUPLE // EG10873-MONOMER // 2,"50S ribosomal subunit protein L7"" // ""50S ribosomal subunit protein L12",,,
"6,7-dimethyl-8-ribityllumazine synthase",ribE,TUPLE // LUMAZINESYN-MONOMER // 60,"6,7-dimethyl-8-ribityllumazine synthase",,,
"6-carboxy-5,6,7,8-tetrahydropterin synthase",queD,TUPLE // G7431-MONOMER // 6,"6-carboxy-5,6,7,8-tetrahydropterin synthase",,,
6-phosphofructokinase I,pfkA,TUPLE // 6PFK-1-MONOMER // 4,6-phosphofructokinase I,,,
6-phosphofructokinase II,pfkB,TUPLE // 6PFK-2-MONOMER // 2,6-phosphofructokinase II,,,
"6-phosphogluconate dehydrogenase, decarboxylating",gnd,TUPLE // 6PGLUCONDEHYDROG-MONOMER // 2,"6-phosphogluconate dehydrogenase, decarboxylating",,,
7-&alpha;-hydroxysteroid dehydrogenase,hdhA,TUPLE // 7-ALPHA-HYDROXYSTEROID-DEH-MONOMER // 4,7-&alpha;-hydroxysteroid dehydrogenase,,,
7-cyano-7-deazaguanine reductase,queF,TUPLE // G7452-MONOMER // 2,7-cyano-7-deazaguanine reductase,,,
8-amino-7-oxononanoate synthase,bioF,TUPLE // 7KAPSYN-MONOMER // 2,8-amino-7-oxononanoate synthase,,,
a 3-methyl-2-oxobutanoate dehydrogenase,,,,,,
a branched-chain 2-keto acid dehydrogenase,,,,,,
a citrate lyase,,,,,,
a cysteine desulfurylase,,,,,,
a dinitrogen reductase,,,,,,
a DsrC sulfur carrier protein,,,,,,
a DsrEFH complex,,,,,,
A Eukaryotic Nitrate Reductase,,,,,,
a factor X,,,,,,
a factor Xa,,,,,,
a factor XI,,,,,,
a factor XIa,,,,,,
a ferrihemoglobin,,,,,,
a ferrohemoglobin,,,,,,
a glutamine synthetase,,,,,,
a hemoglobin,,TUPLE // Hemoglobin-beta // 2 // TUPLE // Hemoglobin-alpha // 2,,,,
a <i>holo</i> [citrate lyase acyl-carrier protein],,,,,,
a <i>holo</i>-[carbon monoxide dehydrogenase],,,,,,
a <i>holo</i>-[methylmalonyl-CoA:pyruvate carboxytransferase],,,,,,
a hydrogenase,,,,,,
a hydrogenase 3,,,,,,
a lactyl-CoA dehydratase,,,,,,
a malonate decarboxylase (thiol form),,,,,,
A modified Ribulose Bisphosphate Carboxylase/Oxygenase,,,,,,
a NifDK protein complex,,,,,,
a NifDK protein containing an M-cluster,,,,,,
a NifEN protein complex,,,,,,
a NifEN protein complex containing an L-cluster,,,,,,
a NifEN protein complex containing an M-cluster,,,,,,
a nitrate reductase,,,,,,
a nitrogenase complex,,,,,,
a nitrogenase reductase,,,,,,
a phosphatase-2A,,,,,,
a phosphorylase a,,,,,,
a phosphorylase b,,,,,,
a phosphorylated branched-chain 2-keto acid dehydrogenase,,,,,,
a phosphorylated isocitrate dehydrogenase,,,,,,
a phosphorylated-3-methyl-2-oxobutanoate dehydrogenase,,,,,,
a plasmin,,,,,,
a procollagen,,,,,,
A Prokaryotic Assimilatory Nitrate Reductase,,,,,,
A Prokaryotic Periplasmic Nitrate Reductase,,,,,,
A Prokaryotic Respiratory Nitrate Reductase,,,,,,
a pyruvate formate-lyase,,,,,,
"a pyruvate,water dikinase",,,,,,
a reduced electron-transferring flavoprotein,,,,,,
a reduced hydrogenase 3,,,,,,
a reduced nitrogenase,,,,,,
a reduced nitrogenase-reductase,,,,,,
a ribonucleoside triphosphate reductase,,,,,,
a Ribulose Bisphosphate Carboxylase/Oxygenase,,,,,,
a SoxZY protein,,,,,,
a thyroglobulin,,,,,,
a xanthine dehydrogenase,,,,,,
a xanthine oxidase,,,,,,
a [chaperone-ADP]-[disordered-form scaffold protein] complex,,,,,,
a [chaperone-ATP]-[co-chaperone]-[scaffold protein-(2Fe-2S)] complex,,,,,,
a [citrate-lyase],,,,,,
a [co-chaperone]-[scaffold protein-(2Fe-2S)] complex,,,,,,
a [cysteine desulfurase]-(<i>S</i>-sulfanyl)<sub>2</sub>-[disordered-form scaffold protein] complex,,,,,,
a [cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex,,,,,,
a [cysteine desulfurase]-[scaffold protein-(2Fe-2S)] complex,,,,,,
a [glycogenin],,,,,,
a [<i>holo</i>-acyl-carrier-protein] synthase,,,,,,
a [NiFe] hydrogenase,,,,,,
acetate / glycolate : cation symporter,actP,TUPLE // YJCG-MONOMER // 2,acetate/glycolate:cation symporter,,,
"&beta; complex"" // ""&alpha; complex","atoD"" // ""atoA",TUPLE // ATOD-CPLX // 1 // TUPLE // ATOD-MONOMER // 2 // TUPLE // ATOA-CPLX // 1 // TUPLE // ATOA-MONOMER // 2,"acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;"" // ""acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;",,,
"acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene)"" // ""acetolactate synthase II subunit IlvM","ilvM"" // ""ilvG_1",TUPLE // SMALLILVM-MONOMER // 1 // TUPLE // G8221-MONOMER // 1,"acetolactate synthase II subunit IlvM"" // ""acetolactate synthase II subunit IlvG, N-terminal fragment (pseudogene)",,,
"acetohydroxy acid synthase I subunit IlvB"" // ""acetohydroxy acid synthase I subunit IlvN","ilvN"" // ""ilvB",TUPLE // SMALLILVN-MONOMER // 2 // TUPLE // LARGEILVB-MONOMER // 2,"acetohydroxy acid synthase I subunit IlvN"" // ""acetohydroxy acid synthase I subunit IlvB",,,
"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit"" // ""acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit","ilvH"" // ""ilvI",TUPLE // ACETOLACTSYNIII-HCHAIN-MONOMER // 2 // TUPLE // ACETOLACTSYNIII-ICHAIN-MONOMER // 2,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit"" // ""acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",,,
acetyl-CoA acetyltransferase,atoB,TUPLE // ACETYL-COA-ACETYLTRANSFER-MONOMER // 4,acetyl-CoA acetyltransferase,,,
acetyl-CoA carboxylase complex,"accB"" // ""accC"" // ""accA"" // ""accD",TUPLE // BCCP-CPLX // 1 // TUPLE // BCCP-BIOTIN // 2 // TUPLE // BIOTIN-CARBOXYL-CPLX // 1 // TUPLE // BIOTIN-CARBOXYL-MONOMER // 2 // TUPLE // ACETYL-COA-CARBOXYLTRANSFER-CPLX // 1 // TUPLE // CARBOXYL-TRANSFERASE-ALPHA-MONOMER // 2 // TUPLE // CARBOXYL-TRANSFERASE-BETA-MONOMER // 2,"biotin carboxyl carrier protein"" // ""biotin carboxylase"" // ""acetyl-CoA carboxyltransferase subunit &alpha;"" // ""acetyl-CoA carboxyltransferase subunit &beta;",,,
"acetyl-CoA carboxyltransferase subunit &alpha;"" // ""acetyl-CoA carboxyltransferase subunit &beta;","accD"" // ""accA",TUPLE // CARBOXYL-TRANSFERASE-BETA-MONOMER // 2 // TUPLE // CARBOXYL-TRANSFERASE-ALPHA-MONOMER // 2,"acetyl-CoA carboxyltransferase subunit &beta;"" // ""acetyl-CoA carboxyltransferase subunit &alpha;",,,
acetyl-CoA:oxalate CoA-transferase,yfdE,TUPLE // G7234-MONOMER // 2,acetyl-CoA:oxalate CoA-transferase,,,
acetylesterase,aes,TUPLE // EG11101-MONOMER // 2,acetylesterase,,,
acetylglutamate kinase,argB,TUPLE // ACETYLGLUTKIN-MONOMER // 2,acetylglutamate kinase,,,
acetylornithine deacetylase,argE,TUPLE // ACETYLORNDEACET-MONOMER // 2,acetylornithine deacetylase,,,
acid phosphatase / phosphotransferase,aphA,TUPLE // APHA-MONOMER // 4,acid phosphatase / phosphotransferase,,,
aconitate hydratase A,acnA,TUPLE // ACONITASE-MONOMER // 2,aconitate hydratase 1,,,
acrylyl-CoA reductase,yhdH,TUPLE // EG11315-MONOMER // 2,acrylyl-CoA reductase,,,
activated pyruvate-formate lyase,pflB,TUPLE // PYRUVFORMLY-MONOMER // 2,pyruvate formate-lyase,,,
acyl-CoA thioesterase II,tesB,TUPLE // THIOESTERII-MONOMER // 4,acyl-CoA thioesterase II,,,
adenine deaminase,adeD,TUPLE // EG11692-MONOMER // 2,adenine deaminase,,,
adenine phosphoribosyltransferase,apt,TUPLE // ADENPRIBOSYLTRAN-MONOMER // 2,adenine phosphoribosyltransferase,,,
adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA,TUPLE // DAPASYN-MONOMER // 2,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,,,
adenylosuccinate lyase,purB,TUPLE // ASL-MONOMER // 4,adenylosuccinate lyase,,,
adenylosuccinate synthetase,purA,TUPLE // ADENYLOSUCCINATE-SYN-MONOMER // 2,adenylosuccinate synthetase,,,
adenylyl-sulfate kinase,cysC,TUPLE // ADENYLYLSULFKIN-MONOMER // 2,adenylyl-sulfate kinase,,,
ADP-L-glycero-D-mannoheptose 6-epimerase,rfaD,TUPLE // EG10838-MONOMER // 5,ADP-L-glycero-D-mannoheptose 6-epimerase,,,
ADP-sugar diphosphatase NudE,nudE,TUPLE // G7740-MONOMER // 2,ADP-sugar diphosphatase NudE,,,
ADP-sugar pyrophosphatase,nudF,TUPLE // EG12633-MONOMER // 2,ADP-sugar pyrophosphatase,,,
aerobic fatty acid oxidation complex,"fadA"" // ""fadB",TUPLE // FADA-CPLX // 1 // TUPLE // FADA-MONOMER // 2 // TUPLE // FADB-CPLX // 1 // TUPLE // FADB-MONOMER // 2,"3-ketoacyl-CoA thiolase"" // ""dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase",,,
aerobic glycerol 3-phosphate dehydrogenase,glpD,TUPLE // AERGLYC3PDEHYDROG-MONOMER // 2,aerobic glycerol 3-phosphate dehydrogenase,,,
agmatinase,speB,TUPLE // AGMATIN-MONOMER // 2,agmatinase,,,
"alanine racemase 1, PLP-binding, biosynthetic",alr,TUPLE // ALARACEBIOSYN-MONOMER // 2,biosynthetic alanine racemase,,,
alanine racemase 2,dadX,TUPLE // ALARACECAT-MONOMER // 2,alanine racemase 2,,,
alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,alaS,TUPLE // ALAS-MONOMER // 2,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,,,
"aldehyde dehydrogenase, Fe-S subunit"" // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase: molybdenum cofactor-binding subunit","paoC"" // ""paoB"" // ""paoA",TUPLE // G6155-MONOMER // 1 // TUPLE // G6156-MONOMER // 1 // TUPLE // G6157-MONOMER // 1,"aldehyde dehydrogenase: molybdenum cofactor-binding subunit"" // ""aldehyde dehydrogenase, FAD-binding subunit"" // ""aldehyde dehydrogenase, Fe-S subunit",,,
"aldehyde dehydrogenase A, NAD-linked",aldA,TUPLE // LACTALDDEHYDROG-MONOMER // 4,aldehyde dehydrogenase A,,,
aldehyde dehydrogenase B,aldB,TUPLE // ALDDEHYDROGB-MONOMER // 4,aldehyde dehydrogenase B,,,
aldehyde-alcohol dehydrogenase,adhE,TUPLE // ADHE-MONOMER // 40,aldehyde-alcohol dehydrogenase,,,
aliphatic sulfonate ABC transporter,"ssuB"" // ""ssuC"" // ""ssuA",TUPLE // YCBE-MONOMER // 2 // TUPLE // YCBM-MONOMER // 2 // TUPLE // G6478-MONOMER // 1,"aliphatic sulfonate ABC transporter ATP binding subunit"" // ""aliphatic sulfonate ABC transporter membrane subunit"" // ""aliphatic sulfonate ABC transporter periplasmic binding protein",,,
alkaline phosphatase,phoA,TUPLE // ALKAPHOSPHA-MONOMER // 2,alkaline phosphatase,,,
alkyl hydroperoxide reductase,"ahpF"" // ""ahpC",TUPLE // EG11385-MONOMER // 2 // TUPLE // EG11384-MONOMER // 10,"alkyl hydroperoxide reductase, AhpF component"" // ""alkyl hydroperoxide reductase, AhpC component",,,
<i>all-trans</i>-octaprenyl-diphosphate synthase,ispB,TUPLE // OPPSYN-MONOMER // 2,<i>all-trans</i>-octaprenyl-diphosphate synthase,,,
allantoate amidohydrolase,allC,TUPLE // G6285-MONOMER // 2,allantoate amidohydrolase,,,
allantoinase,allB,TUPLE // G6281-MONOMER // 4,allantoinase,,,
allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,rpiB,TUPLE // RIB5PISOMB-MONOMER // 2,allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,,,
&alpha; complex,atoD,TUPLE // ATOD-MONOMER // 2,acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;,,,
&alpha;-D-xyloside xylohydrolase,yicI,TUPLE // EG11685-MONOMER // 6,&alpha;-D-xyloside xylohydrolase,,,
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,garL,TUPLE // KDGALDOL-MONOMER // 6,&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,,,
&alpha;-galactosidase,melA,TUPLE // ALPHAGALACTOSID-MONOMER // 2,&alpha;-galactosidase,,,
amidophosphoribosyltransferase,purF,TUPLE // PRPPAMIDOTRANS-MONOMER // 4,amidophosphoribosyltransferase,,,
amino acid racemase,ygeA,TUPLE // EG11157-MONOMER // 2,amino acid racemase,,,
aminodeoxychorismate lyase,pabC,TUPLE // ADCLY-MONOMER // 2,aminodeoxychorismate lyase,,,
aminopeptidase A/I and DNA-binding transcriptional repressor,pepA,TUPLE // EG10694-MONOMER // 6,aminopeptidase A/I,,,
aminopeptidase B,pepB,TUPLE // EG12310-MONOMER // 6,aminopeptidase B,,,
ammonia / ammonium transporter,amtB,TUPLE // AMTB-MONOMER // 3,ammonia/ammonium transporter,,,
AMP nucleosidase,amn,TUPLE // AMP-NUCLEOSID-MONOMER // 6,AMP nucleosidase,,,
an acetyl-CoA carboxylase,,,,,,
an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein],,,,,,
an active ribonucleoside triphosphate reductase,,,,,,
an <i>apo</i> [citrate-lyase acyl-carrier protein],,,,,,
an <i>apo</i>-[carbon monoxide dehydrogenase],,,,,,
an <i>apo</i>-[methylmalonyl-CoA:pyruvate carboxytransferase],,,,,,
an inactive ribonucleoside triphosphate reductase,,,,,,
an isocitrate dehydrogenase,,,,,,
an oxidized hydrogenase 3,,,,,,
an oxidized nitrogenase,,,,,,
an oxidized nitrogenase-reductase,,,,,,
an RNA polymerase,,,,,,
an <i>S</i>-sulfanyl-[cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex,,,,,,
an <i>S</i>-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex,,,,,,
an [acetyl-CoA carboxylase] phosphate,,,,,,
anaerobic fatty acid &beta;-oxidation complex,"fadJ"" // ""fadI",TUPLE // G7212-MONOMER // 1 // TUPLE // G7213-MONOMER // 1,"3-hydroxyacyl-CoA dehydrogenase FadJ"" // ""3-ketoacyl-CoA thiolase FadI",,,
